	User	Histories	Behaviors
0	U0	B99805 B141608	B39301-0 B149523-0 B20433-0 B58027-0 B210658-0 B155177-0 B17221-0 B46000-0 B28474-0 B15094-0 B163185-0 B146768-0 B166918-0 B6626-0 B55603-0 B183220-0 B63547-0 B193039-0 B134684-0 B49255-0
1	U1		
2	U2	B47878 B33622 B152977 B116164	B160393-0 B208377-0 B156997-0 B123866-0 B124597-0 B186738-0 B155154-0 B814-0 B116669-0 B5347-0 B93204-0 B72214-0 B79502-0 B83558-0 B102980-0 B104809-0 B152815-0 B147396-0 B117554-0 B59858-0
3	U3	B148837 B109161 B101071	B2210-0 B48112-0 B172984-0 B111697-0 B193643-0 B103638-0 B39485-0 B89305-0 B142637-0 B145926-0 B2169-0 B69442-0 B1668-0 B153882-0 B159924-0 B80198-0 B10806-0 B160180-0 B21990-0 B22321-0
4	U4	B23262 B150030 B143419	B169997-0 B71635-0 B186033-0 B112858-0 B179332-0 B110950-0 B28634-0 B47563-0 B26621-0 B207198-0 B16273-0 B44436-0 B46150-0 B34370-0 B168308-0 B84965-0 B92328-0 B48888-0 B8646-0 B80002-0
5	U5	B208636 B188278 B361 B66159 B39486 B34296 B189805 B76377 B65191	B44546-0 B46462-0 B139486-0 B50687-0 B55508-0 B130119-0 B30897-0 B36068-0 B112061-0 B162465-0 B12732-0 B191143-0 B8226-0 B64506-0 B27709-0 B21619-0 B65021-0 B206514-0 B46246-0 B74435-0
6	U6	B87258 B162363 B6746	B70679-0 B156057-0 B101888-0 B201395-0 B107213-0 B54090-0 B151531-0 B139905-0 B85633-0 B72737-0 B158583-0 B132670-0 B167582-0 B2498-0 B26524-0 B73127-0 B143295-0 B171014-0 B164355-0 B183582-0
7	U7	B32012 B51547 B29719 B163224 B198202 B133724	B177892-0 B145029-0 B25118-0 B148887-0 B38108-0 B122267-0 B4531-0 B156536-0 B40182-0 B20629-0 B92120-0 B19398-0 B92578-0 B95425-0 B143963-0 B190768-0 B112988-0 B199042-0 B70117-0 B12663-0
8	U8	B147811 B200325 B16444 B100066	B79502-0 B56350-0 B158326-0 B107689-0 B20008-0 B2059-0 B54085-0 B77962-0 B194638-0 B139392-0 B103776-0 B83072-0 B15239-0 B97929-0 B28239-0 B88790-0 B128737-0 B153660-0 B152637-0 B141511-0
9	U9	B11924 B43026 B11270	B202778-0 B114166-0 B11968-0 B160510-0 B107419-0 B153986-0 B98999-0 B107019-0 B95717-0 B78372-0 B65750-0 B171325-0 B72345-0 B39564-0 B35229-0 B34533-0 B116926-0 B11807-0 B106648-0 B37107-0
