User	Histories	Behaviors
U387	B14578 B32970 B20089	B134914-0 B151587-0 B129493-0 B99102-0 B159745-0 B158610-0 B32504-0 B112540-0 B162217-0 B143295-0 B38884-0 B53965-0 B16054-0 B82913-0 B98321-0 B189313-1 B176247-0 B119970-0 B56153-0 B101586-0
U4736	B146274 B170568 B177559	B141117-0 B170385-0 B188554-0 B99336-0 B128249-0 B75380-0 B179629-0 B203597-0 B51505-0 B73668-0 B8808-0 B186142-0 B150596-0 B42499-0 B87496-0 B104110-0 B52525-0 B6930-0 B153750-0 B117217-0
U1945	B197986 B149907 B121392	B180247-0 B15431-0 B26375-0 B110829-1 B200325-0 B193983-0 B200877-0 B143083-0 B9159-1 B99133-0 B201708-0 B66663-0 B126822-0 B201850-0 B47321-0 B136286-0 B47765-0 B154633-0 B163828-0 B196118-0
U9607	B99288 B170808 B86829 B36922 B155711 B5849 B57072 B130050	B119038-0 B195014-0 B132538-0 B2360-0 B88640-0 B80826-0 B104089-0 B51691-0 B15123-0 B191446-0 B91637-0 B77146-0 B196496-0 B169420-0 B53161-0 B56569-0 B134070-0 B104611-0 B41445-0 B102357-0
U5060	B84386 B29936 B96175 B160335	B170640-0 B125409-0 B186792-0 B35580-0 B67327-0 B139932-0 B205080-0 B56878-0 B10648-0 B101996-0 B25270-0 B146779-0 B67781-0 B36967-0 B97238-0 B12161-0 B193677-0 B34788-0 B28612-0 B22528-0
U1016	B187119 B34716 B84470 B111740 B164472 B112187 B19641 B200950 B111760 B73428 B63158	B24175-0 B155097-0 B176135-0 B69644-0 B12958-0 B64472-0 B183443-0 B144433-0 B133685-0 B48652-0 B128648-0 B170163-0 B132263-0 B42630-0 B90132-0 B111171-0 B33213-0 B49517-0 B17442-0 B48825-0
U2193	B149312 B210306 B62237 B31047 B163539 B177244	B36896-0 B22694-0 B63208-0 B58378-0 B71031-0 B28366-0 B155630-0 B133337-0 B156962-0 B101586-0 B170913-0 B71235-0 B63861-0 B189477-0 B54085-1 B198549-0 B170232-0 B166599-0 B13723-0 B100593-0
U8788	B12244 B107419 B196846 B118094 B52158 B191143 B6746	B54063-0 B100324-0 B180399-0 B46693-0 B140689-0 B28419-0 B180807-0 B167575-0 B3737-0 B48763-0 B162178-0 B5007-0 B121265-0 B135055-0 B49417-0 B143830-0 B111056-0 B170714-0 B143433-0 B153109-0
U3350	B118224 B20954 B186661	B148295-0 B183770-0 B109992-0 B131716-0 B122667-0 B49677-0 B97180-0 B202504-0 B14108-0 B56350-0 B48181-0 B35680-0 B22083-0 B40455-0 B113135-0 B155536-0 B140748-0 B202041-0 B50581-0 B79629-0
U1028	B111628 B143084 B45543 B74344 B142578	B30759-0 B109099-0 B189654-0 B8192-0 B76953-0 B153219-1 B162676-0 B32921-0 B157514-0 B40087-0 B204087-0 B146577-0 B187721-0 B21082-0 B12620-0 B189629-0 B27385-0 B116536-0 B118946-0 B166699-0
