User,Entities
U0,"['Q18845', 'Q244390', 'Q51525', 'Q5192382', 'Q4743416']"
U1,['Q21492954']
U2,['Q117850']
U3,['Q9235758']
U4,"['Q5083', 'Q47231', 'Q1089094', 'Q35160', 'Q506', 'Q1860']"
U5,"['Q79999', 'Q159334', 'Q666172', 'Q10437', 'Q65074486', 'Q11455003', 'Q216204', 'Q118391362', 'Q1618042', 'Q1191235']"
U6,"['Q14317024', 'Q491', 'Q1986893', 'Q132821', 'Q66741638', 'Q14125950']"
U7,"['Q61509', 'Q18327304', 'Q1132056', 'Q60678754']"
U8,"['Q907568', 'Q15290']"
U9,"['Q4656074', 'Q1778168', 'Q1497', 'Q2195840']"
U10,"['Q1158489', 'Q46', 'Q30', 'Q21', 'Q181508', 'Q1731']"
U11,"['Q5', 'Q47577992']"
U12,"['Q18201513', 'Q446121']"
U13,"['Q2695280', 'Q204368', 'Q7953', 'Q27181479', 'Q20035814', 'Q11379', 'Q37450225', 'Q2217023']"
U14,"['Q672890', 'Q15930574']"
U15,"['Q99441275', 'Q43999']"
U16,"['Q814421', 'Q29817940', 'Q2', 'Q15116397', 'Q43845', 'Q2642425', 'Q23768', 'Q307468', 'Q72466']"
U17,['Q5456044']
U18,"['Q4167836', 'Q412770', 'Q170323', 'Q35978', 'Q22', 'Q18028686', 'Q833755']"
U19,"['Q864928', 'Q1494', 'Q2195840', 'Q4656074', 'Q1778168', 'Q100878499', 'Q1058731', 'Q21029108', 'Q148659', 'Q43292']"
U20,"['Q1527', 'Q830588', 'Q2636486']"
U21,"['Q122634', 'Q112653201', 'Q16881317', 'Q107430239', 'Q685640', 'Q83418', 'Q64397414', 'Q37068', 'Q862823', 'Q328804', 'Q152357', 'Q734', 'Q233467', 'Q545486', 'Q548320', 'Q578478', 'Q603292', 'Q1249148', 'Q310488', 'Q212685', 'Q4224666', 'Q278835', 'Q16883172', 'Q23092', 'Q115199121', 'Q1158139', 'Q1860', 'Q21', 'Q192611', 'Q731652', 'Q38370', 'Q17146103', 'Q3077183', 'Q50102716', 'Q75331277', 'Q75299027', 'Q170263', 'Q93188', 'Q1309447', 'Q525713', 'Q3400823', 'Q7569']"
U22,"['Q595550', 'Q3697581']"
U23,['Q2245650']
U24,"['Q316', 'Q466431', 'Q60', 'Q36', 'Q574578', 'Q114870393', 'Q809', 'Q656870', 'Q1067', 'Q8853', 'Q94744538', 'Q1321', 'Q298', 'Q18176925']"
U25,['Q45722']
U26,"['Q126796', 'Q33979', 'Q81447', 'Q184366', 'Q21590660']"
U27,['Q246693']
U28,"['Q145', 'Q51883323', 'Q19683']"
U29,"['Q154037', 'Q7949', 'Q7628401']"
U30,['Q212789']
U31,"['Q1798773', 'Q74673954']"
U32,"['Q119712727', 'Q1075']"
